vigtext,category,vigfile,moral_decision,arousal,,,,,,,,,,,,,
You see a boy spray-painting anarchy symbols on the side of the police station.,Authority,auth06,3.9,2.8,,,,,,,,,,,,,
You see a boy turning up the TV as his father talks about his military service.,Authority,auth09,3.1,3.2,,,,,,,,,,,,,
You see a girl ignoring her father's orders by taking the car after her curfew.,Authority,auth01,3.5,2.9,,,,,,,,,,,,,
You see a girl repeatedly interrupting her teacher as he explains a new concept.,Authority,auth03,3.0,2.6,,,,,,,,,,,,,
You see a group of women having a long and loud conversation during a church sermon.,Authority,auth12,3.8,3.3,,,,,,,,,,,,,
You see a man secretly watching sports on his cell phone during a pastor's sermon.,Authority,,2.8,2.3,,,,,,,,,,,,,
You see a man turn his back and walk away while his boss questions his work.,Authority,auth13,3.1,2.8,,,,,,,,,,,,,
You see a player publicly yelling at his soccer coach during a playoff game.,Authority,auth08,3.1,2.2,,,,,,,,,,,,,
You see a staff member talking loudly and interrupting the mayor's speech to the public.,Authority,auth11,3.8,3.1,,,,,,,,,,,,,
You see a star player ignoring her coach's order to come to the bench during a game.,Authority,auth15,3.1,2.4,,,,,,,,,,,,,
You see a student stating that her professor is a fool during an afternoon class.,Authority,auth14,3.0,2.6,,,,,,,,,,,,,
You see a teaching assistant talking back to the teacher in front of the classrom.,Authority,auth10,3.5,2.9,,,,,,,,,,,,,
You see a teenage girl coming home late and ignoring her parents' strict curfew.,Authority,auth05,3.3,2.6,,,,,,,,,,,,,
You see a woman refusing to stand when the judge walks into the courtroom.,Authority,auth02,3.0,2.4,,,,,,,,,,,,,
You see an employee trying to undermine all of her boss' ideas in front of others.,Authority,auth07,4.3,2.8,,,,,,,,,,,,,
You see a woman spray painting graffiti across the steps of the local courthouse.,Authority,,3.6,3.1,,,,,,,,,,,,,
You see an intern disobeying an order to dress professionally and comb his hair.,Authority,auth04,2.9,2.4,,,,,,,,,,,,,
You see a boy skipping to the front of the line because his friend is an employee.,Fairness,fair12,3.4,2.7,,,,,,,,,,,,,
You see a girl asking for allowance even though her brother did her chores for her.,Fairness,fair10,3.7,3.2,,,,,,,,,,,,,
"You see a girl taking all the Halloween candy from a bowl, leaving none for others.",Fairness,fair11,3.5,2.8,,,,,,,,,,,,,
You see a judge taking on a criminal case although he is friends with the defendant.,Fairness,fair06,4.1,3.8,,,,,,,,,,,,,
"You see a manager taking half the doughnuts from a box, leaving little for others.",Fairness,,3.0,2.3,,,,,,,,,,,,,
You see a politician using federal tax dollars to build an extension on his home.,Fairness,fair15,4.8,3.9,,,,,,,,,,,,,
You see a professor giving a bad grade to a student just because he dislikes him.,Fairness,fair14,4.7,4.1,,,,,,,,,,,,,
You see a referee intentionally making bad calls that help his favored team win.,Fairness,fair05,4.0,3.1,,,,,,,,,,,,,
You see a runner taking a shortcut on the course during the marathon in order to win.,Fairness,fair02,4.4,3.3,,,,,,,,,,,,,
You see a soccer player pretending to be seriously fouled by an opposing player.,Fairness,fair04,3.5,2.6,,,,,,,,,,,,,
You see a student copying a classmate's answer sheet on a makeup final exam.,Fairness,fair01,4.4,3.7,,,,,,,,,,,,,
You see a student getting an A on a group project when he didn't do his part.,Fairness,fair07,3.8,3.5,,,,,,,,,,,,,
You see a tenant bribing a landlord to be the first to get their apartment repainted.,Fairness,fair03,3.2,2.2,,,,,,,,,,,,,
You see a woman getting hired only because her father is close friends with the boss.,Fairness,fair09,3.4,3.1,,,,,,,,,,,,,
You see a woman lying about the number of vacation days she has taken at work.,Fairness,fair13,3.2,2.8,,,,,,,,,,,,,
You see an employee lying about how many hours she worked during the week.,Fairness,fair08,3.9,3.2,,,,,,,,,,,,,
You see someone cheating in a card game while playing with a group of strangers.,Fairness,,3.6,2.7,,,,,,,,,,,,,
You see a boy making fun of his brother for getting dumped by his girlfriend.,Harm-Emo,careemo09,3.2,2.8,,,,,,,,,,,,,
You see a boy telling a woman that she looks just like her overweight bulldog. ,Harm-Emo,careemo05,4.3,3.5,,,,,,,,,,,,,
You see a girl laughing at another student forgetting her lines at a school play.,Harm-Emo,careemo02,3.4,3.1,,,,,,,,,,,,,
You see a girl laughing when she realizes her friend's dad is the janitor.,Harm-Emo,careemo06,3.9,3.5,,,,,,,,,,,,,
You see a girl saying that another girl is too ugly to be a varsity cheerleader.,Harm-Emo,careemo07,3.8,3.2,,,,,,,,,,,,,
You see a girl telling a boy that his older brother is much more attractive than him.,Harm-Emo,careemo13,2.4,2.2,,,,,,,,,,,,,
You see a girl telling her classmate that she looks like she has gained weight.,Harm-Emo,careemo14,3.2,3.0,,,,,,,,,,,,,
You see a man laughing at a disabled co-worker while at an office softball game.,Harm-Emo,careemo15,4.5,4.2,,,,,,,,,,,,,
You see a man loudly telling his wife that the dinner she cooked tastes awful.,Harm-Emo,careemo10,3.4,3.5,,,,,,,,,,,,,
You see a man quickly canceling a blind date as soon as he sees the woman.,Harm-Emo,careemo04,4.0,3.3,,,,,,,,,,,,,
You see a man snickering as he passes by a cancer patient with a bald head.,Harm-Emo,careemo11,4.4,4.2,,,,,,,,,,,,,
You see a man telling a woman that her painting looks like it was done by children.,Harm-Emo,,2.9,2.8,,,,,,,,,,,,,
You see a teenage boy chuckling at an amputee he passes by while on the subway.,Harm-Emo,careemo01,4.4,3.9,,,,,,,,,,,,,
You see a teenage girl openly staring at a disfigured woman as she walks past.,Harm-Emo,careemo08,3.0,3.2,,,,,,,,,,,,,
You see a woman clearly avoiding sitting next to an obese woman on the bus.,Harm-Emo,careemo12,3.0,2.9,,,,,,,,,,,,,
You see a woman commenting out loud about how fat another woman looks in her jeans.,Harm-Emo,careemo03,4.0,3.7,,,,,,,,,,,,,
You see a boy placing a thumbtack sticking up on the chair of another student.,Harm-Phys,carephys08,3.8,3.2,,,,,,,,,,,,,
You see a boy setting a series of traps to kill stray cats in his neighborhood.,Harm-Phys,carephys06,4.6,4.1,,,,,,,,,,,,,
You see a boy throwing rocks at cows that are grazing in the local pasture.,Harm-Phys,,4.3,3.9,,,,,,,,,,,,,
You see a girl shooting geese repeatedly with a pellet gun out in the woods.,Harm-Phys,carephys05,4.0,3.6,,,,,,,,,,,,,
You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend,Harm-Phys,carephys07,4.3,3.4,,,,,,,,,,,,,
You see a man lashing his pony with a whip for breaking loose from its pen.,Harm-Phys,carephys01,3.9,3.8,,,,,,,,,,,,,
You see a teacher hitting a student's hand with a ruler for falling asleep in class.,Harm-Phys,carephys02,3.7,3.5,,,,,,,,,,,,,
You see a wife hitting her husband on the side of his head for coming home late.,Harm-Phys,carephys04,3.9,3.1,,,,,,,,,,,,,
You see a woman slapping another woman who she is arguing with in the parking lot.,Harm-Phys,carephys03,3.8,3.4,,,,,,,,,,,,,
You see a woman snatching away her dog's food for making a mess in the living room.,Harm-Phys,carephys11,3.2,3.3,,,,,,,,,,,,,
You see a woman spanking her child with a spatula for getting bad grades in school.,Harm-Phys,carephys10,3.6,3.6,,,,,,,,,,,,,
You see a woman swerving her car in order to intentionally run over a squirrel.,Harm-Phys,carephys13,4.2,3.9,,,,,,,,,,,,,
You see a woman throwing a stapler at her colleague who is snoring during her talk.,Harm-Phys,carephys15,4.0,3.1,,,,,,,,,,,,,
You see a woman throwing her cat across the room for scratching the furniture.,Harm-Phys,carephys12,4.2,3.7,,,,,,,,,,,,,
You see a zoo trainer jabbing a dolphin to get it to entertain his customers.,Harm-Phys,carephys14,4.2,4.1,,,,,,,,,,,,,
You see someone leaving his dog outside in the rain after it dug in the trash.,Harm-Phys,carephys09,3.7,3.6,,,,,,,,,,,,,
You see a boss ordering an employee to revoke his citizenship in his home country.,Liberty,,4.3,3.3,,,,,,,,,,,,,
You see a boss pressuring employees to buy goods from her family's general store.,Liberty,lib08,3.7,3.0,,,,,,,,,,,,,
You see a father requiring his son to become a commercial airline pilot like him.,Liberty,lib02,2.9,2.6,,,,,,,,,,,,,
You see a father requiring his son to take up the family restaurant business.,Liberty,lib12,2.5,2.7,,,,,,,,,,,,,
You see a man blocking his wife from leaving home or interacting with others.,Liberty,lib03,4.3,4.0,,,,,,,,,,,,,
