subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
20," ""You see a tenant bribing a landlord to be the first to get their apartment __."""," ""repainted"""," ""remodeled"""," ""carpeted"""," ""repainted""", 3#,5.557405, 3#,7.920287
20," ""You see a family eating the carcass of their pet __ that had been run over."""," ""dog"""," ""dog"""," ""turtle"""," ""kitten""", 1!,5.256335, 3#,7.029761
20," ""You see __ getting married to each other in an elaborate wedding."""," ""two first cousins"""," ""two first cousins"""," ""two sisters"""," ""an uncle and niece""", 1!,4.114824, 3#,5.78362
20," ""You see a man wearing __ with socks that clearly do not match each other."""," ""a suit"""," ""a suit"""," ""pants"""," ""sandals""", 2@,6.561995, 2@,8.294108
20," ""You see a player questioning the __ of his coach during a team practice."""," ""competence"""," ""competence"""," ""athleticism"""," ""intelligence""", 1!,6.81109, 1!,9.186924
20," ""You see someone giving the finger to the __ back is turned."""," ""boss, while the boss's"""," ""dentist, while the dentist's"""," ""boss, while the boss's"""," ""policeman, while the policeman's""", 4$,9.032466, 2@,11.630397
20," ""You see a woman accidentally knocking over a child while __ on her cell phone."""," ""talking"""," ""talking"""," ""texting"""," ""playing a game""", 4$,7.477682, 2@,9.813514
20," ""You see a principal publicly wishing that a rival school wins __."""," ""a prestigious grant"""," ""the choir competition"""," ""the tournament"""," ""a prestigious grant""", 2@,6.598509, 3#,8.054705
20," ""You see a girl repeatedly interrupting her __ as he explains a new concept."""," ""teacher"""," ""tutor"""," ""teacher"""," ""professor""", 3#,5.484206, 3#,6.817537
20," ""You see a woman continuing to wear a __ inside her apartment complex."""," ""large sun hat"""," ""large sun hat"""," ""big shady visor"""," ""pair of sunglasses""", 1!,6.146352, 2@,8.15402
20," ""You see a teacher ordering a student to go __ for having a weird hairstyle."""," ""to detention"""," ""to the principal's office"""," ""home"""," ""to detention""", 2@,6.578039, 3#,7.92202
