subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
19," ""You see a woman watching __ on television in black-and-white instead of color."""," ""a game"""," ""the news"""," ""the soap opera"""," ""a game""", 1!,10.213721, 2@,12.209865
19," ""You see a woman having sex with an extremely obese man in exchange for __."""," ""fifteen dollars"""," ""twenty-five dollars"""," ""fifteen dollars"""," ""twenty dollars""", 4$,5.358184, 3#,8.119345
19," ""You see a woman happily admitting that she has not paid any taxes in over __ years."""," ""ten"""," ""ten"""," ""five"""," ""two""", 4$,3.144378, 3#,4.561849
19," ""You see a US __ cheering as a Chinese foe beats his teammate to win the gold."""," ""swimmer"""," ""swimmer"""," ""gymnast"""," ""wrestler""", 1!,6.489009, 3#,8.225291
19," ""You see a customer greeting every stranger she sees while __."""," ""in a coffee shop"""," ""in a coffee shop"""," ""sitting at the bar"""," ""waiting in the lobby""", 4$,7.10909, 2@,9.191801
19," ""You see someone wearing a __ costume on a day that is not Halloween."""," ""superhero"""," ""zombie"""," ""pirate"""," ""superhero""", 4$,5.512921, 2@,7.084023
19," ""You see a former US __ saying publicly he would never buy any American product."""," ""general"""," ""president"""," ""congressman"""," ""general""", 3#,6.063256, 2@,7.564729
19," ""You see a boy tripping a classmate in order to be the first __."""," ""in the cafeteria line"""," ""on the schoolbus"""," ""in the cafeteria line"""," ""out on the playground""", 4$,6.642385, 3#,10.126171
19," ""You see a girl asking for allowance even though her brother __ for her."""," ""did her chores"""," ""made her bed"""," ""did her chores"""," ""cleaned her room""", 2@,5.76352, 3#,6.698644
19," ""You see a family eating the carcass of their pet __ that had been run over."""," ""dog"""," ""kitten"""," ""dog"""," ""turtle""", 2@,12.555157, 1!,15.086817
19," ""You see a man telling a woman that her painting looks like it __."""," ""was done by children"""," ""is beginner's work"""," ""belongs in the closet"""," ""was done by children""", 3#,4.377042, 3#,5.691841
19," ""You see a man putting __ all over his chicken Caesar salad while at lunch."""," ""ketchup"""," ""mustard"""," ""mayonnaise"""," ""ketchup""", 2@,14.55646, 1!,15.624141
19," ""You see a student getting an A on a group project when he didn't __."""," ""do his part"""," ""deserve it"""," ""do his part"""," ""contribute anything""", 2@,3.486924, 3#,4.457775
19," ""You see someone driving around in a dirty __ that has not been washed recently."""," ""car"""," ""car"""," ""minivan"""," ""sedan""", 1!,4.081692, 3#,5.58533
19," ""You see a man laughing at a disabled co-worker while at an office __."""," ""softball game"""," ""beach retreat"""," ""softball game"""," ""charity run""", 2@,2.755848, 3#,3.644588
19," ""You see a man leaving his family business to go work __."""," ""for their main competitor"""," ""for their main competitor"""," ""somewhere that pays better"""," ""for a start-up""", 1!,4.693843, 3#,5.602841
19," ""You see a father requiring his son to become a __ like him."""," ""commercial airline pilot"""," ""commercial airline pilot"""," ""chemical engineer"""," ""corporate entrepreneur""", 4$,15.22034, 3#,18.526319
19," ""You see a teenage girl forbidding friends from ever disagreeing with her __."""," ""in public"""," ""in public"""," ""on Facebook"""," ""about fashion""", 4$,4.435939, 3#,5.809542
19," ""You see a boy making fun of his brother for getting __ his girlfriend."""," ""dumped by"""," ""dumped by"""," ""yelled at by"""," ""in trouble with""", 1!,3.472964, 3#,4.716652
19," ""You see a man lashing his __ with a whip for breaking loose from its pen."""," ""pony"""," ""goat"""," ""pony"""," ""donkey""", 2@,6.14981, 3#,7.165948
19," ""You see a boy telling a woman that she looks just like her overweight __ ."""," ""bulldog"""," ""pug"""," ""beagle"""," ""bulldog""", 3#,3.879225, 3#,5.055434
19," ""You see a very drunk woman dancing on a table while men laugh and __."""," ""cheer her on"""," ""take pictures"""," ""cheer her on"""," ""buy her drinks""", 4$,3.014992, 3#,3.925474
19," ""You see a man refusing to allow his daughter to participate in any __."""," ""type of sports"""," ""type of sports"""," ""co-ed activities"""," ""after school clubs""", 4$,5.764227, 2@,6.672831
19," ""You see a woman laughing with her friend about __ of her family members."""," ""the poor taste"""," ""the silly traditions"""," ""embarrassing stories"""," ""the poor taste""", 4$,9.404209, 2@,10.635977
19," ""You see a track coach quitting in the middle of the season after __."""," ""winning the lottery"""," ""winning the lottery"""," ""marrying a wealthy man"""," ""inheriting lots of money""", 4$,4.399888, 3#,5.420297
19," ""You see a __ drinking until she vomits on herself and falls asleep."""," ""college student"""," ""high schooler"""," ""college student"""," ""teenager""", 3#,8.63312, 2@,9.739796
19," ""You see a very drunk woman making out with multiple strangers __."""," ""on the city bus"""," ""at the subway stop"""," ""on the city bus"""," ""at the gas station""", 2@,5.92902, 3#,7.254015
19," ""You see someone giving the finger to the __ back is turned."""," ""boss, while the boss's"""," ""boss, while the boss's"""," ""dentist, while the dentist's"""," ""policeman, while the policeman's""", 4$,2.373232, 3#,3.880818
19," ""You see a woman __ when the judge walks into the courtroom."""," ""refusing to stand"""," ""refusing to stand"""," ""talking on her phone"""," ""raise her middle finger""", 1!,4.383136, 3#,5.172865
19," ""You see a tenant bribing a landlord to be the first to get their apartment __."""," ""repainted"""," ""repainted"""," ""remodeled"""," ""carpeted""", 1!,3.907152, 3#,4.669367
19," ""You see a man staying inside his home with the __ on a rare sunny day."""," ""shades drawn"""," ""shades drawn"""," ""lights off"""," ""curtains closed""", 1!,11.603924, 3#,12.306948
19," ""You see someone leaving his dog outside in the rain after it dug in the __."""," ""trash"""," ""trash"""," ""vegetable garden"""," ""sandbox""", 4$,3.621475, 3#,5.545293
19," ""You see a woman telling a group of homeless people on the __ to go find jobs."""," ""subway"""," ""street"""," ""curb"""," ""subway""", 4$,2.943938, 3#,3.752451
19," ""You see a woman lying about the number of __ days she has taken at work."""," ""vacation"""," ""personal"""," ""vacation"""," ""sick""", 2@,4.727468, 3#,6.277652
19," ""You see a man forbidding his wife to __ that he has not first approved."""," ""wear clothing"""," ""read books"""," ""wear clothing"""," ""see movies""", 2@,9.129527, 1!,12.232428
19," ""You see a player publicly yelling at his soccer coach during __ game."""," ""a play-off"""," ""a tournament"""," ""an all-star"""," ""a play-off""", 3#,12.691267, 2@,13.511642
19," ""You see an American __ publicly defecting to Iran for a large sum of money."""," ""celebrity"""," ""celebrity"""," ""talk show host"""," ""newscaster""", 4$,4.152795, 3#,4.980972
19," ""You see a student stating that her professor is __ during an afternoon class."""," ""a fool"""," ""a fool"""," ""an idiot"""," ""a moron""", 1!,9.278141, 2@,11.347529
19," ""You see a woman drinking her entire cup of __ using a stirring spoon."""," ""coffee"""," ""cocoa"""," ""tea"""," ""coffee""", 3#,8.141342, 2@,9.750561
19," ""You see a boy spray-painting __ symbols on the side of the police station."""," ""anarchy"""," ""dirty"""," ""anarchy"""," ""gang""", 2@,2.010472, 3#,2.768148
19," ""You see a __ trying to ban student dances held at public schools."""," ""community leader"""," ""community leader"""," ""city councilman"""," ""PTA member""", 4$,5.538214, 2@,7.425699
19," ""You see a man searching through the trash to find women's discarded __."""," ""underwear"""," ""underwear"""," ""lingerie"""," ""pantyhose""", 1!,3.8141, 3#,4.816184
19," ""You see a staff member talking loudly and interrupting the __ speech to the public."""," ""mayor's"""," ""CEO's"""," ""candidate's"""," ""mayor's""", 4$,6.216183, 3#,7.734528
