subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
22," ""You see a woman squeezing a baby's __ hard because it will not stop crying."""," ""arm"""," ""arm"""," ""shoulder"""," ""foot""", 4$,3.184706, 3#,6.043824
22," ""You see a teenage woman carrying an open umbrella on a cloudless day in __."""," ""October"""," ""November"""," ""October"""," ""September""", 4$,3.419887, 3#,5.897758
22," ""You see an American telling foreigners that the US is __ force in the world."""," ""an evil"""," ""a negative"""," ""a destructive"""," ""an evil""", 3#,4.188238, 2@,6.091223
22," ""You see a teenager urinating in the wave pool at a crowded __ park."""," ""amusement"""," ""water"""," ""amusement"""," ""theme""", 1!,4.416769, 2@,5.974221
22," ""You see a girl laughing at another student forgetting her lines __ ."""," ""at a school play"""," ""at a school play"""," ""at a poetry recital"""," ""in front of everyone""", 1!,3.553644, 3#,4.842359
22," ""You see a young boy teasing another boy because his father recently __."""," ""passed away"""," ""was deployed overseas"""," ""divorced his mother"""," ""passed away""", 4$,4.624599, 3#,6.506649
22," ""You see an employee trying to undermine her boss's __."""," ""ideas"""," ""financial strategy"""," ""ideas"""," ""credibility""", 2@,3.123321, 3#,5.057089
22," ""You see a __ celebrating with the opposing team's players who just won the game."""," ""coach"""," ""coach"""," ""player"""," ""manager""", 1!,3.181939, 3#,4.542262
22," ""You see a woman clearly avoiding sitting next to an obese woman __."""," ""on the bus"""," ""on the bus"""," ""in a theater"""," ""in the lobby""", 1!,3.670747, 3#,5.114981
22," ""You see a group of women having a long and loud conversation __."""," ""during a church sermon"""," ""during a church sermon"""," ""with a funeral nearby"""," ""during a meditation class""", 1!,3.286865, 3#,4.861682
22," ""You see a player publicly yelling at his soccer coach during __ game."""," ""a play-off"""," ""a tournament"""," ""an all-star"""," ""a play-off""", 3#,3.966132, 3#,5.706513
22," ""You see a man searching through the trash to find women's discarded __."""," ""underwear"""," ""lingerie"""," ""pantyhose"""," ""underwear""", 3#,2.98473, 3#,4.261488
22," ""You see an employee joking with competitors about how bad his company did __."""," ""last year"""," ""this quarter"""," ""last year"""," ""this month""", 2@,3.392804, 3#,5.029632
22," ""You see a manager coercing her employees into eating at her brother's __."""," ""diner"""," ""restaurant"""," ""diner"""," ""caf_""", 2@,2.990482, 3#,4.452908
22," ""You see a __ calling the president a nasty name in the middle of a speech."""," ""reporter"""," ""bystander"""," ""reporter"""," ""newscaster""", 4$,4.21645, 3#,6.765318
22," ""You see an American __ publicly defecting to Iran for a large sum of money."""," ""celebrity"""," ""newscaster"""," ""talk show host"""," ""celebrity""", 4$,2.416331, 3#,3.986622
22," ""You see a man telling his __ that she has to switch to his political party."""," ""fiancee"""," ""wife"""," ""fiancee"""," ""girlfriend""", 2@,3.170211, 3#,5.019781
22," ""You see a teenage boy offering his classmate money to write his __."""," ""history essay"""," ""book report"""," ""history essay"""," ""biology paper""", 4$,3.329924, 3#,4.718822
22," ""You see a student stating that her professor is __ during an afternoon class."""," ""a fool"""," ""a fool"""," ""an idiot"""," ""a moron""", 1!,5.126296, 3#,6.658158
22," ""You see a student copying a classmate's answer sheet on a makeup __."""," ""final exam"""," ""final exam"""," ""midterm exam"""," ""quiz""", 1!,4.089359, 3#,6.521041
22," ""You see a woman slapping another woman who she is arguing with in the __."""," ""parking lot"""," ""grocery store"""," ""hotel lobby"""," ""parking lot""", 3#,3.152137, 3#,4.498594
22," ""You see a woman having sex with an extremely obese man in exchange for __."""," ""fifteen dollars"""," ""twenty dollars"""," ""fifteen dollars"""," ""twenty-five dollars""", 4$,3.248731, 3#,5.014028
22," ""You see a woman getting hired only because her father __ with the boss."""," ""is close friends"""," ""is close friends"""," ""plays golf"""," ""went to college""", 1!,3.369282, 3#,4.649786
22," ""You see a girl laughing when she realizes her friend's dad is the __ ."""," ""janitor"""," ""school nurse"""," ""schoolbus driver"""," ""janitor""", 3#,3.051482, 3#,4.059939
22," ""You see a drunk elderly man offering to __ with anyone at the bar."""," ""have oral sex"""," ""cuddle"""," ""have oral sex"""," ""make out""", 2@,3.500914, 3#,4.910734
